3.9.18 (main, Oct  4 2024, 00:00:00) 
t:  32260
t:  32270
t:  32280
t:  32290
t:  32300
t:  32310
t:  32320
t:  32330
t:  32340
t:  32350
t:  32360
t:  32370
t:  32380
t:  32390
t:  32400
t:  32410
t:  32420
t:  32430
t:  32440
t:  32450
t:  32460
t:  32470
t:  32480
t:  32490
t:  32500
t:  32510
t:  32520
t:  32530
t:  32540
t:  32550
t:  32560
t:  32570
t:  32580
t:  32590
t:  32600
t:  32610
t:  32620
t:  32630
t:  32640
t:  32650
t:  32660
t:  32670
t:  32680
t:  32690
t:  32700
t:  32710
t:  32720
t:  32730
t:  32740
t:  32750
t:  32760
t:  32770
t:  32780
t:  32790
t:  32800
t:  32810
t:  32820
t:  32830
t:  32840
t:  32850
t:  32860
t:  32870
t:  32880
t:  32890
t:  32900
t:  32910
t:  32920
t:  32930
t:  32940
t:  32950
t:  32960
t:  32970
t:  32980
t:  32990
t:  33000
t:  33010
t:  33020
t:  33030
t:  33040
t:  33050
t:  33060
t:  33070
t:  33080
t:  33090
t:  33100
t:  33110
t:  33120
t:  33130
t:  33140
t:  33150
t:  33160
t:  33170
t:  33180
t:  33190
t:  33200
t:  33210
t:  33220
t:  33230
t:  33240
t:  33250
t:  33260
t:  33270
t:  33280
t:  33290
t:  33300
t:  33310
t:  33320
t:  33330
t:  33340
t:  33350
t:  33360
t:  33370
t:  33380
t:  33390
t:  33400
t:  33410
t:  33420
t:  33430
t:  33440
t:  33450
t:  33460
t:  33470
t:  33480
t:  33490
slurmstepd-chpc007: error: *** JOB 4948018 ON chpc007 CANCELLED AT 2025-03-07T01:49:32 DUE TO TIME LIMIT ***
